43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,38,39,40,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,38,39,40
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,57,58,59,38,39,39,40,43,43,43,43,43,43,43,43,43,43,43,43,43,57,58,59
43,29,29,29,43,43,43,43,43,43,43,43,43,43,43,43,43,43,38,39,40,43,43,43,43,43,43,43,43,43,57,58,58,59,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,67,48,68,43,43,43,43,43,43,43,43,43,43,43,43,43,43,57,58,59,43,43,43,43,43,43,43,11,48,48,48,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
29,10,10,10,29,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
48,48,30,48,48,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
48,48,49,48,48,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
10,10,10,10,10,29,29,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
48,30,48,30,48,48,48,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
48,49,48,49,48,48,48,43,43,43,43,43,43,43,43,48,11,48,43,43,43,43,43,2,2,43,43,43,11,43,43,43,43,43,43,2,43,43,43,43,43,43,43,43,43,43,43,43,41,42
48,48,48,48,48,48,48,43,43,43,43,43,43,162,43,43,43,43,43,43,43,162,2,2,2,43,43,43,43,43,43,43,43,43,43,2,43,43,43,43,43,43,43,43,162,43,43,43,60,61
30,48,30,48,30,48,48,43,43,43,43,179,43,181,43,43,43,43,43,43,43,2,2,2,2,43,43,43,43,43,43,43,43,43,43,2,2,43,43,43,43,179,43,43,181,43,43,43,60,61
49,48,49,48,49,48,48,43,43,43,43,198,43,198,160,160,160,160,43,43,2,2,2,2,2,43,43,43,43,43,43,43,43,43,43,2,2,43,43,160,160,198,160,43,198,43,43,43,60,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
